# Japanese labels for facet values, AND the canonical display order.
#
# HPA reports organs and species in English, so the values stored in the
# database stay English (they are the filter keys).  These labels are attached
# to the /api/meta payload for display and for searching the facet list in
# Japanese - typing "肺" has to find "Lung".
#
# ROW ORDER IS THE DISPLAY ORDER.  Sorting by the English value while showing
# the Japanese label produced a sequence that looked random to a reader
# (骨 → 骨髄 → 脳 → 乳腺 → 子宮頸部 → 結腸 → 結合組織 …, i.e. alphabetical in a
# language that is not on screen).  Organs are therefore listed here in
# anatomical order and both the heatmap grouping and the facet list follow it.
# Anything not listed sorts after everything listed, by name.
value	ja	search
# --- haematopoietic & lymphoid --------------------------------------------
Bone marrow	骨髄	白血病 leukemia 骨髄腫 myeloma blood 血液
Blood	血液
Lymphoid tissue	リンパ組織	リンパ腫 lymphoma 白血病 leukemia リンパ球
Thymus	胸腺
Spleen	脾臓
# --- nervous system & eye --------------------------------------------------
# Third column = extra words that find this row in the facet list.  A
# neuroblastoma line is filed under the peripheral nervous system, which is
# correct but not where someone looking for 脳 thinks to look, so each finds
# the other.  Search only - it does not change any classification.
Brain	脳	神経 nervous CNS 中枢神経 glioma グリオーマ 神経芽腫 neuroblastoma 末梢神経系
Peripheral nervous system	末梢神経系	神経 nervous 脳 brain 神経芽腫 neuroblastoma 交感神経 ganglia
Eye	眼	目 眼球 retina 網膜
# --- head, neck & endocrine ------------------------------------------------
Head and neck	頭頸部
Thyroid gland	甲状腺
Parathyroid gland	副甲状腺
Pituitary gland	下垂体
Adrenal gland	副腎
# --- respiratory -----------------------------------------------------------
Lung	肺
Pleura	胸膜
# --- gastrointestinal ------------------------------------------------------
Esophagus	食道
Stomach	胃
Small intestine	小腸
Intestine	腸
Appendix	虫垂
Colon	結腸
Rectum	直腸
Liver	肝臓
Bile duct	胆管
Gallbladder	胆嚢
Pancreas	膵臓
Peritoneum	腹膜
# --- urinary ---------------------------------------------------------------
Kidney	腎臓
Urinary bladder	膀胱
# --- reproductive ----------------------------------------------------------
Breast	乳腺
Prostate	前立腺
Testis	精巣
Ovary	卵巣
Uterus	子宮
Endometrium	子宮内膜
Cervix	子宮頸部
Vulva	外陰部
Placenta	胎盤
# --- skin, musculoskeletal, other -----------------------------------------
Skin	皮膚
Bone	骨
Muscle	筋肉
Soft tissue	軟部組織
Connective tissue	結合組織
Vasculature	血管
Heart	心臓
Embryonic tissue	胚性組織
# --- species ---------------------------------------------------------------
Homo sapiens	ヒト
Mus musculus	マウス
Rattus norvegicus	ラット
Canis lupus familiaris	イヌ
Cricetulus griseus	チャイニーズハムスター
Chlorocebus sabaeus	ミドリザル
