# Free-text origin/disease -> canonical organ (由来臓器).
#
# Rows are evaluated top to bottom and the first case-insensitive substring hit
# wins, so more specific patterns MUST come before the generic ones (e.g.
# "bile duct" before "duct", "small intestine" before "intestine").
# Used only as a fallback when the input files do not carry an explicit
# organ/tissue column.
pattern	organ
# --- haematopoietic & lymphoid -------------------------------------------
acute myeloid leukemia	Bone marrow
acute myeloid leukaemia	Bone marrow
chronic myeloid leukemia	Bone marrow
chronic myeloid leukaemia	Bone marrow
myeloid leukemia	Bone marrow
myeloid leukaemia	Bone marrow
myeloma	Bone marrow
erythroleukemia	Bone marrow
erythroleukaemia	Bone marrow
lymphoblastic leukemia	Lymphoid tissue
lymphoblastic leukaemia	Lymphoid tissue
lymphocytic leukemia	Lymphoid tissue
lymphocytic leukaemia	Lymphoid tissue
lymphoma	Lymphoid tissue
lymphoid	Lymphoid tissue
leukemia	Bone marrow
leukaemia	Bone marrow
bone marrow	Bone marrow
blood	Blood
thymus	Thymus
thymoma	Thymus
spleen	Spleen
tonsil	Lymphoid tissue
lymph node	Lymphoid tissue
# --- nervous system --------------------------------------------------------
glioblastoma	Brain
astrocytoma	Brain
oligodendroglioma	Brain
medulloblastoma	Brain
glioma	Brain
neuroblastoma	Peripheral nervous system
retinoblastoma	Eye
brain	Brain
cerebral	Brain
cerebellum	Brain
central nervous system	Brain
peripheral nervous system	Peripheral nervous system
# --- head, neck & sensory --------------------------------------------------
nasopharyn	Head and neck
oropharyn	Head and neck
hypopharyn	Head and neck
laryn	Head and neck
pharyn	Head and neck
tongue	Head and neck
oral	Head and neck
mouth	Head and neck
salivary	Head and neck
head and neck	Head and neck
thyroid	Thyroid gland
parathyroid	Parathyroid gland
uveal	Eye
retina	Eye
eye	Eye
# --- respiratory -----------------------------------------------------------
mesothelioma	Pleura
pleura	Pleura
bronch	Lung
lung	Lung
# --- gastrointestinal ------------------------------------------------------
esophag	Esophagus
oesophag	Esophagus
gastric	Stomach
stomach	Stomach
duodenum	Small intestine
ileum	Small intestine
jejunum	Small intestine
small intestine	Small intestine
appendix	Appendix
caecum	Colon
cecum	Colon
colorectal	Colon
colon	Colon
rectum	Rectum
rectal	Rectum
bile duct	Bile duct
cholangio	Bile duct
gallbladder	Gallbladder
hepatocellular	Liver
hepatoblastoma	Liver
hepatic	Liver
liver	Liver
pancrea	Pancreas
peritoneum	Peritoneum
# --- urinary ---------------------------------------------------------------
renal	Kidney
kidney	Kidney
nephro	Kidney
urothelial	Urinary bladder
bladder	Urinary bladder
ureter	Urinary bladder
urinary	Urinary bladder
adrenal	Adrenal gland
pheochromocytoma	Adrenal gland
paraganglioma	Adrenal gland
# --- reproductive ----------------------------------------------------------
prostate	Prostate
testis	Testis
testicular	Testis
seminoma	Testis
germ cell	Testis
ovary	Ovary
ovarian	Ovary
endometri	Endometrium
cervix	Cervix
cervical	Cervix
vulva	Vulva
uterus	Uterus
uterine	Uterus
placenta	Placenta
choriocarcinoma	Placenta
breast	Breast
mammary	Breast
# --- skin, bone, soft tissue ----------------------------------------------
melanoma	Skin
keratinocyte	Skin
epiderm	Skin
skin	Skin
osteosarcoma	Bone
chondrosarcoma	Bone
ewing	Bone
bone	Bone
rhabdomyosarcoma	Soft tissue
leiomyosarcoma	Soft tissue
liposarcoma	Soft tissue
fibrosarcoma	Soft tissue
synovial sarcoma	Soft tissue
sarcoma	Soft tissue
muscle	Muscle
myoblast	Muscle
fibroblast	Connective tissue
connective	Connective tissue
# --- other -----------------------------------------------------------------
endothelial	Vasculature
heart	Heart
cardiac	Heart
pituitary	Pituitary gland
embryonic stem	Embryonic tissue
induced pluripotent	Embryonic tissue
embryo	Embryonic tissue
