tcga_code	organ	description
ACC	Adrenal gland	Adrenocortical carcinoma
BLCA	Urinary bladder	Bladder urothelial carcinoma
BRCA	Breast	Breast invasive carcinoma
CESC	Cervix	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CHOL	Bile duct	Cholangiocarcinoma
COAD	Colon	Colon adenocarcinoma
DLBC	Lymphoid tissue	Lymphoid neoplasm diffuse large B-cell lymphoma
ESCA	Esophagus	Esophageal carcinoma
GBM	Brain	Glioblastoma multiforme
HNSC	Head and neck	Head and neck squamous cell carcinoma
KICH	Kidney	Kidney chromophobe
KIRC	Kidney	Kidney renal clear cell carcinoma
KIRP	Kidney	Kidney renal papillary cell carcinoma
LAML	Bone marrow	Acute myeloid leukemia
LGG	Brain	Brain lower grade glioma
LIHC	Liver	Liver hepatocellular carcinoma
LUAD	Lung	Lung adenocarcinoma
LUSC	Lung	Lung squamous cell carcinoma
MESO	Pleura	Mesothelioma
OV	Ovary	Ovarian serous cystadenocarcinoma
PAAD	Pancreas	Pancreatic adenocarcinoma
PCPG	Adrenal gland	Pheochromocytoma and paraganglioma
PRAD	Prostate	Prostate adenocarcinoma
READ	Rectum	Rectum adenocarcinoma
SARC	Soft tissue	Sarcoma
SKCM	Skin	Skin cutaneous melanoma
STAD	Stomach	Stomach adenocarcinoma
TGCT	Testis	Testicular germ cell tumors
THCA	Thyroid gland	Thyroid carcinoma
THYM	Thymus	Thymoma
UCEC	Endometrium	Uterine corpus endometrial carcinoma
UCS	Uterus	Uterine carcinosarcoma
UVM	Eye	Uveal melanoma
